Attraction,Themes,Tour Destination,City
Anjuna,,Anjuna,Goa
Anjuna Flea Market,,Anjuna Flea Market,Goa
Ann Arbor,"Museum,",Ann Arbor,Detroit
Annapurna Region,"Outdoor Activities,",Annapurna Region,Himalayas
Anne Frank House,"Museum,",Anne Frank House,Amsterdam
Annecy,"Outdoor Activities,",Annecy,French Alps
Antigua Rum Distillery,,Antigua Rum Distillery,St Johns Antigua
Anuradhapura,,Anuradhapura,Cultural Triangle
Appleton Rum Estate,"Museum,",Appleton Rum Estate,South Coast
Aquaboulevard,"Water Sports,",Aquaboulevard,Paris
Aqualand Gran Canaria,"Water Sports,",Aqualand Gran Canaria,Gran Canaria
Aqualand Mallorca,"Water Sports,",Aqualand Mallorca,Mallorca
Aqualand Water Park,,Aqualand Water Park,Corfu
Aqualandia,"Outdoor Activities,",Aqualandia,Venice
Aquaparc,,Aquaparc,Geneva
Aquarium of the Bay,,Aquarium of the Bay,San Francisco
Aquatica by Seaworld,,Aquatica by Seaworld,San Diego
Aran Islands,,Aran Islands,Galway
Arc de Triomphe,,Arc de Triomphe,Paris
Archaeological Museum,"Museum,",Archaeological Museum,Split
Arctic Cathedral,,Arctic Cathedral,Tromso
Arenal Volcano National Park,"National Park,",Arenal Volcano National Park,Northwest Costa Rica
Arikok National Park,"National Park,Outdoor Activities,",Arikok National Park,Oranjestad
Arizona-Sonora Desert Museum,"Museum,",Arizona-Sonora Desert Museum,Tucson
Arkansas Governors Mansion,,Arkansas Governors Mansion,Little Rock
Arkhangelskoye Palace,"Museum,",Arkhangelskoye Palace,Moscow
Arlington Antebellum Home and Gardens,"Museum,",Arlington Antebellum Home and Gardens,Birmingham Alabama
Armley Mills Industrial Museum,"Museum,",Armley Mills Industrial Museum,Leeds
Arrecife Museum of Contemporary Art,"Museum,",Arrecife Museum of Contemporary Art,Lanzarote
Arrowtown,"Museum,",Arrowtown,Queenstown
Art Institute of Chicago,"Museum,",Art Institute of Chicago,Chicago
Art Nouveau Architecture,"Museum,",Art Nouveau Architecture,Riga
Arta,"Museum,",Arta,Mallorca
Arthurs Seat,,Arthurs Seat,Edinburgh
Artis Zoo,"Museum,",Artis Zoo,Amsterdam
Artspace,,Artspace,Raleigh
Arucas,"Museum,World Heritage Site,",Arucas,Gran Canaria
Asfour Crystal Factory,,Asfour Crystal Factory,Cairo
Ashmolean Museum,"Museum,",Ashmolean Museum,Oxford
Asian Art Museum of San Francisco,"Museum,",Asian Art Museum of San Francisco,San Francisco
Asian Civilisations Museum,"Museum,",Asian Civilisations Museum,Singapore
Asilah,,Asilah,Tangier
Assisi,,Assisi,Umbria
Atlanta Botanical Garden,,Atlanta Botanical Garden,Atlanta
Atlanta History Center,,Atlanta History Center,Atlanta
Atlantic Beach,"Outdoor Activities,Water Sports,",Atlantic Beach,North Carolina Coast
Attica Zoological Gardens,,Attica Zoological Gardens,Athens
Auckland Museum,"Museum,",Auckland Museum,Auckland
Auckland Sky Tower,,Auckland Sky Tower,Auckland
Audubon Aquarium of the Americas,,Audubon Aquarium of the Americas,New Orleans
Audubon House and Tropical Gardens,,Audubon House and Tropical Gardens,Florida Keys
Augsburg,"Museum,",Augsburg,The Romantic Road
Auschwitz Memorial Museum,"Museum,",Auschwitz Memorial Museum,Krakow
Australian War Memorial,"Museum,",Australian War Memorial,Canberra
Automotive Hall of Fame,"Museum,",Automotive Hall of Fame,Detroit
Avenue of Stars,,Avenue of Stars,Hong Kong City
Avery Island,,Avery Island,New Orleans
Avon Valley Adventure and Wildlife Park,,Avon Valley Adventure and Wildlife Park,Bath
Axum,"World Heritage Site,",Axum,Addis Ababa
Ayacucho,,Ayacucho,Cuzco
Ayutthaya,"World Heritage Site,",Ayutthaya,Bangkok
Azem Palace,,Azem Palace,Damascus
Azure Window,"Water Sports,",Azure Window,Gozo
Bab Agnaou,,Bab Agnaou,Marrakech
Baconao Park,"Museum,World Heritage Site,",Baconao Park,Santiago de Cuba
Baden-Baden,"Museum,",Baden-Baden,The Black Forest
Badlands National Park,"National Park,Outdoor Activities,",Badlands National Park,Black Hills
Baga Beach,"Water Sports,",Baga Beach,Goa
Bagan,"World Heritage Site,",Bagan,Yangon
Bahir Dar,,Bahir Dar,Addis Ababa
Bahla,"World Heritage Site,",Bahla,Muscat
Bahrain Fort,"World Heritage Site,",Bahrain Fort,Manama
Bairro Alto,,Bairro Alto,Lisbon
Bait al Baranda,"Museum,",Bait al Baranda,Muscat
Baiyun Mountain,,Baiyun Mountain,Guangzhou
Bakken Amusement Park,,Bakken Amusement Park,Copenhagen
Baku Water Park,,Baku Water Park,Fuerteventura
Balagne,,Balagne,Corsica
Balatonfured,"Museum,",Balatonfured,Lake Balaton
Balboa Park,"Museum,Outdoor Activities,",Balboa Park,San Diego
Bald Head Island,,Bald Head Island,North Carolina Coast
Baldwin Home Museum,,Baldwin Home Museum,Maui
Bali Bird Park,,Bali Bird Park,Bali
Ballarat,,Ballarat,Melbourne
Balmoral Castle,"National Park,",Balmoral Castle,Aberdeen
Balti Triangle,,Balti Triangle,Birmingham
BALTIC Centre for Contemporary Art,"Museum,",BALTIC Centre for Contemporary Art,Newcastle-Upon-Tyne
Baltimore and Ohio (B&O) Railroad Museum,"Museum,",Baltimore and Ohio (B&O) Railroad Museum,Baltimore
Baltimore Museum of Art,"Museum,",Baltimore Museum of Art,Baltimore
Banaue,"Outdoor Activities,World Heritage Site,",Banaue,Manila
Banff,"Museum,National Park,",Banff,Canadian Rocky Mountains
Bangkok Butterfly Garden and Insectarium,"Museum,",Bangkok Butterfly Garden and Insectarium,Bangkok
Bangkok Children’s Discovery Museum,"Museum,",Bangkok Children’s Discovery Museum,Bangkok
Bangkok National Museum,"Museum,",Bangkok National Museum,Bangkok
Banos,"Outdoor Activities,",Banos,Quito
Banpo Village Remains,"Museum,",Banpo Village Remains,Xi An
Banyoles,"Museum,",Banyoles,Costa Brava
Banys Arabs,,Banys Arabs,Palma de Mallorca
Barbados Garrison,"Museum,",Barbados Garrison,Bridgetown
Barber Institute of Fine Arts,"Museum,",Barber Institute of Fine Arts,Birmingham
Barbier-Mueller Museum,"Museum,",Barbier-Mueller Museum,Geneva
Barcelona Aquarium,"Water Sports,",Barcelona Aquarium,Barcelona
Barcelona Beaches,"Water Sports,",Barcelona Beaches,Barcelona
Barossa Valley,"Museum,Sky Activities,",Barossa Valley,Adelaide
Barri Gotic,,Barri Gotic,Barcelona
Basilica dei Frari,,Basilica dei Frari,Venice
Basilica di San Giovanni,,Basilica di San Giovanni,Rome
Basilica Minore de Santo Nino,"Museum,",Basilica Minore de Santo Nino,Cebu
Basilica of SantAmbrogio,,Basilica of SantAmbrogio,Milan
Basilique St-Michel,,Basilique St-Michel,Bordeaux
Basque Museum and Cultural Center,"Museum,",Basque Museum and Cultural Center,Boise
Basseterre,,Basseterre,St Kitts
Bastakiya,,Bastakiya,Dubai
Bastia,,Bastia,Corsica
Bateaux Dubai Dinner Cruise,,Bateaux Dubai Dinner Cruise,Dubai
Baths of Aphrodite,"Outdoor Activities,",Baths of Aphrodite,Paphos
Bathsheba,"Water Sports,",Bathsheba,Bridgetown
Battlefields Park (Plains of Abraham),,Battlefields Park (Plains of Abraham),Quebec City
Batu Caves,"Museum,",Batu Caves,Kuala Lumpur
Batubulan,,Batubulan,Bali
Bay of Islands,"Water Sports,",Bay of Islands,Auckland
Bay of Pigs Museum,"Museum,",Bay of Pigs Museum,Havana
Bayeaux,"Museum,",Bayeaux,Normandy
Bayonne,"Museum,",Bayonne,Basque Country
Bayou Bend,,Bayou Bend,Houston
Bayworld,"Museum,",Bayworld,Port Elizabeth
Bazaruto Island,"National Park,Water Sports,",Bazaruto Island,Bazaruto Archipelago
Beach Communities,,Beach Communities,Los Angeles
Beaches,,Beaches,Castries
Beaches,"Water Sports,",Beaches,Tel Aviv
Beaches,,Beaches,Cebu
Beaches,,Beaches,Matara
Beaches in Busan,"Water Sports,",Beaches in Busan,Busan
Beaches in Mauritius,"Water Sports,",Beaches in Mauritius,Port Louis
Beaches in Oman,"Water Sports,",Beaches in Oman,Muscat
Beaches near Palma,"Water Sports,",Beaches near Palma,Palma de Mallorca
Beaches on Fuerteventura,,Beaches on Fuerteventura,Fuerteventura
Beatles Story Experience,"Museum,",Beatles Story Experience,Liverpool
Beau Vallon Bay,"Water Sports,",Beau Vallon Bay,Mahe
Beihai Park,,Beihai Park,Beijing
Beijing Aquarium,,Beijing Aquarium,Beijing
Beijing World Park,,Beijing World Park,Beijing
Beira,,Beira,Pemba and Northern Mozambique
Beirut Hippodrome,,Beirut Hippodrome,Beirut
Beit Shean National Park,,Beit Shean National Park,Galilee
Belfast Botanic Gardens and the Ulster Museum,"Museum,",Belfast Botanic Gardens and the Ulster Museum,Belfast
Belfast Zoo,,Belfast Zoo,Belfast
Belgian Centre of Comic Strip Art,"Museum,",Belgian Centre of Comic Strip Art,Brussels
Bell Tower (Campanile di San Marco),,Bell Tower (Campanile di San Marco),Venice
Bellagio Hotel and Casino,"Museum,",Bellagio Hotel and Casino,Las Vegas
Belle Meade Plantation,,Belle Meade Plantation,Nashville
Belle of Louisville,,Belle of Louisville,Louisville
Belvedere,"Museum,",Belvedere,Vienna
Belvedere Park,"Museum,",Belvedere Park,Tunis
Bemis Center for Contemporary Arts,,Bemis Center for Contemporary Arts,Omaha
Ben and Jerrys Ice Cream Factory,,Ben and Jerrys Ice Cream Factory,Burlington
Ben Nevis,,Ben Nevis,The Highlands
Ben Thanh Market,"Food Tour,",Ben Thanh Market,Ho Chi Minh City
Ben Youssef Madrasa,"World Heritage Site,",Ben Youssef Madrasa,Marrakech
Benaki Museum,"Museum,",Benaki Museum,Athens
Benefit Street,"Museum,",Benefit Street,Providence
Beng Mealea,,Beng Mealea,Siem Reap
Benguerra Island,"Water Sports,",Benguerra Island,Bazaruto Archipelago
Berastagi,,Berastagi,Sumatra
Berchtesgaden,"Museum,",Berchtesgaden,Munich
Berkeley Castle,,Berkeley Castle,Bath
Berlin Jewish Museum,"Museum,",Berlin Jewish Museum,Berlin
Berlin Wall East Side Gallery,"Museum,",Berlin Wall East Side Gallery,Berlin
Berlin Zoo-Aquarium,,Berlin Zoo-Aquarium,Berlin
Berliner Dom,,Berliner Dom,Berlin
Bermuda Railway Trail,,Bermuda Railway Trail,Hamilton
Bern,"Museum,World Heritage Site,",Bern,Bernese Oberland
Berry Islands,,Berry Islands,The Islands
Betancuria,"Museum,",Betancuria,Fuerteventura
Bethlehem,"Museum,World Heritage Site,",Bethlehem,Jerusalem
Bhaktapur,"World Heritage Site,",Bhaktapur,Kathmandu
Bhubing Palace,,Bhubing Palace,Chiang Mai
Bialowieza National Park,"National Park,World Heritage Site,",Bialowieza National Park,Warsaw
Bieszczady Mountains,"Outdoor Activities,World Heritage Site,",Bieszczady Mountains,Krakow
Big Ben and the Houses of Parliament,,Big Ben and the Houses of Parliament,London
Big Buddha,,Big Buddha,Hong Kong City
Bilbao City Hall,,Bilbao City Hall,Bilbao
Bimini Islands,"Museum,",Bimini Islands,The Islands
Binondo (Chinatown),,Binondo (Chinatown),Manila
Bioluminescent Bay,"Water Sports,",Bioluminescent Bay,Fajardo
Biot,"Outdoor Activities,",Biot,Cote d Azur
Birmingham Civil Rights Institute,"Museum,",Birmingham Civil Rights Institute,Birmingham Alabama
Birmingham Museum and Art Gallery,"Museum,",Birmingham Museum and Art Gallery,Birmingham
Birmingham Zoo,"Outdoor Activities,",Birmingham Zoo,Birmingham Alabama
Biscayne National Park,"National Park,Outdoor Activities,",Biscayne National Park,Miami
Bishop Museum,"Museum,",Bishop Museum,Honolulu
Black Heritage Trail,"Museum,National Park,",Black Heritage Trail,Boston
Black River,"Outdoor Activities,",Black River,South Coast
Black River Gorges National Park,"National Park,Outdoor Activities,",Black River Gorges National Park,Port Louis
Blankenese,"Museum,",Blankenese,Hamburg
Blarney Castle,,Blarney Castle,Cork
Blickling Estate,"Museum,",Blickling Estate,East Anglia
Block Island,,Block Island,Newport
Blois,,Blois,Loire Valley
Blood River/Ncome Heritage Site,"Museum,Outdoor Activities,World Heritage Site,",Blood River/Ncome Heritage Site,Battlefields
Blue Caves,"Water Sports,",Blue Caves,Zakynthos
Blue Grotto (Grotta Azzurra),,Blue Grotto (Grotta Azzurra),Naples
Blue Lagoon,"Water Sports,",Blue Lagoon,Port Antonio
Blue Lagoon,"Water Sports,",Blue Lagoon,Reykjavik
Blue Mosque (Sultan Ahmet Camii),"Museum,",Blue Mosque (Sultan Ahmet Camii),Istanbul
Blue Mountains,"National Park,",Blue Mountains,Kingston
Blue Mountains,"Outdoor Activities,",Blue Mountains,Sydney
Blue Penny Museum,"Museum,",Blue Penny Museum,Port Louis
Blue Ridge Parkway,"National Park,Outdoor Activities,",Blue Ridge Parkway,Asheville
Blyde River Canyon,"Outdoor Activities,Water Sports,",Blyde River Canyon,Mpumalanga
Bo-Kaap,"Museum,",Bo-Kaap,Cape Town
Boatswains Beach,,Boatswains Beach,Grand Cayman
Bob Marley Mausoleum,"Museum,",Bob Marley Mausoleum,Ocho Rios
Bob Marley Museum,"Museum,",Bob Marley Museum,Kingston
Boca Chica,,Boca Chica,Santo Domingo
Bodleian Library,,Bodleian Library,Oxford
Bogus Basin Mountain Recreation Area,,Bogus Basin Mountain Recreation Area,Boise
Bogyoke Aung San Market,,Bogyoke Aung San Market,Yangon
Bohol,"Water Sports,",Bohol,Cebu
Bolshoi Opera and Ballet Theatre,,Bolshoi Opera and Ballet Theatre,Moscow
Bongoyo Island,"Outdoor Activities,",Bongoyo Island,Dar Es Salaam
Bonifacio,,Bonifacio,Corsica
Bonn,"Museum,",Bonn,The Rhineland
Boracay,"Water Sports,",Boracay,Cebu
Bordeaux Wine Country,,Bordeaux Wine Country,Bordeaux
Bornholm,"Museum,Outdoor Activities,",Bornholm,Copenhagen
Borobudur,"World Heritage Site,",Borobudur,Yogyakarta
Borodino Panorama Museum,"Museum,",Borodino Panorama Museum,Moscow
Borough Market,,Borough Market,London
Boston Museum of Fine Arts,"Museum,",Boston Museum of Fine Arts,Boston
Boston Public Garden,,Boston Public Garden,Boston
Boston Tea Party Ship and Museum,"Museum,",Boston Tea Party Ship and Museum,Boston
Botanical Gardens,,Botanical Gardens,Reykjavik
Botanical Gardens,,Botanical Gardens,Hamilton
Boudhanath Stupa,"World Heritage Site,",Boudhanath Stupa,Kathmandu
Boulder,"National Park,Outdoor Activities,",Boulder,Denver
Boundary Waters Canoe Area,"National Park,Water Sports,",Boundary Waters Canoe Area,Duluth
Bowling Green Bay National Park,"National Park,Outdoor Activities,",Bowling Green Bay National Park,Cairns
"Bowling, Paintball and Table Tennis",,"Bowling, Paintball and Table Tennis",Abu Dhabi
Boyana Church,"Museum,World Heritage Site,",Boyana Church,Sofia
Brac Island,"Water Sports,",Brac Island,Split
Braganca,"Museum,",Braganca,Porto
Bran Castle,"Museum,",Bran Castle,Transylvania
Brandberg,,Brandberg,Windhoek
Brandenburg Gate,,Brandenburg Gate,Berlin
Brandywine Valley,"Museum,",Brandywine Valley,Philadelphia
Brasov,"Museum,",Brasov,Transylvania
Bratislava Castle,"Museum,",Bratislava Castle,Bratislava
Briançon,"Outdoor Activities,Water Sports,",Briançon,French Alps
Bridgewater Hall,,Bridgewater Hall,Manchester
Brig o Balgownie,,Brig o Balgownie,Aberdeen
Brighton Lanes,,Brighton Lanes,Brighton
Brighton Palace Pier,,Brighton Palace Pier,Brighton
Brimstone Hill Fortress,"Museum,World Heritage Site,",Brimstone Hill Fortress,St Kitts
Bristol Cathedral,,Bristol Cathedral,Bristol
Bristol City Museum and Art Gallery,"Museum,",Bristol City Museum and Art Gallery,Bristol
Bristol Zoo and Garden,,Bristol Zoo and Garden,Bristol
British Columbia Parliament Buildings,,British Columbia Parliament Buildings,Vancouver Island
British Museum,"Museum,",British Museum,London
Broadway,,Broadway,New York City
Broken Hill,"National Park,",Broken Hill,Sydney
Bromo-Tengger-Semeru National Park,"National Park,",Bromo-Tengger-Semeru National Park,Yogyakarta
Brooklyn Bridge,,Brooklyn Bridge,New York City
Brooklyn Childrens Museum,"Museum,",Brooklyn Childrens Museum,New York City
Bruges Diamond Museum,"Museum,",Bruges Diamond Museum,Bruges
Bruparck,,Bruparck,Brussels
Bryggen,"Museum,World Heritage Site,",Bryggen,Bergen
Bryggens Museum,"Museum,World Heritage Site,",Bryggens Museum,Bergen
Buck Island,"Water Sports,",Buck Island,St Croix
Buckhorn Saloon and Museum,"Museum,",Buckhorn Saloon and Museum,San Antonio
Buckingham Fountain,,Buckingham Fountain,Chicago
Buckingham Palace and the Queens Gallery,"Museum,",Buckingham Palace and the Queens Gallery,London
Budapest Puppet Theatre,,Budapest Puppet Theatre,Budapest
Buenos Aires Botanical Gardens,,Buenos Aires Botanical Gardens,Buenos Aires
Buenos Aires Zoo,,Buenos Aires Zoo,Buenos Aires
Buffalo,"Museum,",Buffalo,Western New York State
Buffalo Bills,,Buffalo Bills,Las Vegas
Building of Bath Museum,"Museum,Water Sports,",Building of Bath Museum,Bath
Bukit Larut,,Bukit Larut,Hill Resorts
Bukit Lawang,"National Park,Outdoor Activities,",Bukit Lawang,Sumatra
Bukit Timah Nature Reserve,,Bukit Timah Nature Reserve,Singapore
Bukittinggi,,Bukittinggi,Sumatra
Burrell Collection,,Burrell Collection,Glasgow
Busan Aquarium,,Busan Aquarium,Busan
Busch Gardens,,Busch Gardens,Tampa
Butchart Gardens,,Butchart Gardens,Vancouver Island
Butterfly Conservatory,"Museum,",Butterfly Conservatory,Florida Keys
Buzios Peninsula,"Water Sports,",Buzios Peninsula,Rio de Janeiro
Byron Bay,"Outdoor Activities,Water Sports,",Byron Bay,Sydney
Byzantine Museum,"Museum,",Byzantine Museum,Nicosia
Cabarete,"Outdoor Activities,Water Sports,",Cabarete,Amber Coast
Cabildo,"Museum,",Cabildo,Buenos Aires
Cable Cars,"Museum,",Cable Cars,San Francisco
Cabo de Gata-Nijar Natural Park,,Cabo de Gata-Nijar Natural Park,Costa Almeria
Caernarfon,,Caernarfon,Northern Wales
Caesarea,"Museum,Water Sports,",Caesarea,Galilee
Cagliari,"Museum,",Cagliari,Sardinia
Cahora Bassa Lake,,Cahora Bassa Lake,Pemba and Northern Mozambique
Cahors,,Cahors,Dordogne and Lot
Cahuita National Park,"National Park,",Cahuita National Park,The Caribbean Lowlands
Calan Porter,,Calan Porter,Minorca
Calangute Beach,,Calangute Beach,Goa
Calaway Park,,Calaway Park,Calgary
Calgary Tower,,Calgary Tower,Calgary
Calgary Zoo,,Calgary Zoo,Calgary
Callwood Distillery,,Callwood Distillery,Tortola
Calouste Gulbenkian Museum,,Calouste Gulbenkian Museum,Lisbon
Calouste Gulbenkian Planetarium,"Museum,",Calouste Gulbenkian Planetarium,Lisbon
Cambodia Cooking Class,,Cambodia Cooking Class,Phnom Penh
Cambridge,,Cambridge,Boston
Camden Market,,Camden Market,London
Camel Racing,,Camel Racing,Dubai
Camera Oscura,"Water Sports,",Camera Oscura,Havana
Cameron Highlands,,Cameron Highlands,Hill Resorts
Camiguin,,Camiguin,Davao
Canada Olympic Park,"Museum,Outdoor Activities,",Canada Olympic Park,Calgary
Canadian Museum of Civilisation,"Museum,",Canadian Museum of Civilisation,Ottawa
Cancun Beaches,"Museum,Water Sports,",Cancun Beaches,Cancun
Cane Garden Bay,"Water Sports,",Cane Garden Bay,Tortola
Cannon Beach,"Outdoor Activities,",Cannon Beach,Portland Oregon
Canterbury,,Canterbury,London
Cap Corse,"Outdoor Activities,",Cap Corse,Corsica
Cape Cod Lighthouses,,Cape Cod Lighthouses,Cape Cod
Cape Maclear,,Cape Maclear,Lake Malawi
Cape Point,,Cape Point,Cape Town
Cape Sounion,,Cape Sounion,Athens
Cape Town Beaches,"Outdoor Activities,Water Sports,",Cape Town Beaches,Cape Town
Cape Town Ostrich Ranch,"Museum,",Cape Town Ostrich Ranch,Cape Town
Cape Tribulation,"National Park,Water Sports,",Cape Tribulation,Cairns
Capilano Suspension Bridge,,Capilano Suspension Bridge,Vancouver
Capitol Square,,Capitol Square,Richmond
Capitoline Hill,,Capitoline Hill,Rome
Capitolio Nacional,"Museum,",Capitolio Nacional,Havana
Capri,,Capri,Naples
Capuchin Catacombs,,Capuchin Catacombs,Sicily
Cardiff Castle,"Museum,",Cardiff Castle,Cardiff
Carfax Tower,,Carfax Tower,Oxford
Caribbean National Forest (El Yunque),"National Park,",Caribbean National Forest (El Yunque),San Juan
Carlsbad Caverns,"National Park,World Heritage Site,",Carlsbad Caverns,Albuquerque
Carmel Market,,Carmel Market,Tel Aviv
Carnac,"Museum,",Carnac,Brittany
Carnegie Museums,"Museum,",Carnegie Museums,Pittsburgh
Carrick-a-Rede Rope Bridge,,Carrick-a-Rede Rope Bridge,Belfast
Carthage,"Museum,World Heritage Site,",Carthage,Tunis
Casa Bacardi Visitor Centre,,Casa Bacardi Visitor Centre,San Juan
Casa de Colon,"Museum,",Casa de Colon,Gran Canaria
Casa Gorordo Museum,"Museum,",Casa Gorordo Museum,Cebu
Casa Loma,,Casa Loma,Toronto
Casa Rosada,"Museum,",Casa Rosada,Buenos Aires
Casablanca Twin Centre,,Casablanca Twin Centre,Casablanca
Cassis,,Cassis,Marseille
Castell dAlaro,"Outdoor Activities,",Castell dAlaro,Mallorca
Castell de Bellver,"Museum,",Castell de Bellver,Palma de Mallorca
Castell de Santa Barbara,"Museum,",Castell de Santa Barbara,Costa Blanca
Castelo de Sao Jorge,,Castelo de Sao Jorge,Lisbon
Castillo de San Pedro del Morro (Morro Castle),"Museum,World Heritage Site,",Castillo de San Pedro del Morro (Morro Castle),Santiago de Cuba
Castle Howard,,Castle Howard,York
Castle Keep and New Castle,,Castle Keep and New Castle,Newcastle-Upon-Tyne
