"Title","Tour Destination"
"Hotel in Croatia","Croatia,,Dalmatian Coast,Dubrovnik,Split,Zagreb,,Andautonia Archaeological Park,Archaeological Museum,Brac Island,Cathedral Treasury,Croatian History Museum,Croatian National Theatre,Diocletians Palace,Dubrovnik City Walls,Dubrovnik Port,Dubrovnik Riviera,Elafiti Islands,Franciscan Monastery,Hvar Island,Korcula Island,Krk Island,Makarska,Marin Drzics House,Mljet Island,Plitvice Lakes National Park,Rijeka,Sibenik,Sponza Palace,Stradun,Town Squares,Trakoscan Castle,Trogir,War Photo Limited,,"
"Hotel in Cuba","Cuba,,Havana,Santiago de Cuba,Trinidad,Vinales Valley,Havana International,Acuario Nacional,Ancón Beach,Baconao Park,Bay of Pigs Museum,Camera Oscura,Capitolio Nacional,Castillo de San Pedro del Morro (Morro Castle),Cayo Largo Del Sur,Cigar Factories,Cueva del Indio,El Malécon,Emilio Bacardi Moreau Museum,Ernest Hemingway Museum,Gran Caverna de Santo Tomás,Habana Vieja (Old Havana),Moncada Barracks,Montemar Natural Park,Museo de la Ciudad (Museum of the City),Museo de la Revolución,Museo Histórico Municipal,Museo Nacional de Bellas Artes,Museo Romántico,Parque Nacional Alejandro de Humboldt,Playas del Este,Plaza de la Revolución,Sancti Spiritus,Santa Clara,Santa Ifigenia Cemetery,Valle de los Ingenios (Valley of the Sugar Mills),Varadero,Vinales Botanical Garden,,"
"Hotel in Czech Republic","Czech Republic,,Prague,,Ceský Krumlov,Charles Bridge (Karluv Most),Franz Kafka Museum,Karlovy Vary (Karlsbad),Kostnice Ossuary,Kutna Hora,Miluniæ and Gehrys Dancing House,Museum of Communism,Old Town Square,Petrin Hill,Pilsen,Prague Astronomical Clock,Prague Toy Museum,St Vitus Cathedral,Šumava National Park,The Castle District,The Jewish Museum,Traffic Rules Playground Prosek,Vysehrad,,"
"Hotel in Denmark","Denmark,,Billund,Copenhagen,Roskilde,,Bakken Amusement Park,Bornholm,Christiansborg Palace,Copenhagen Historical Museums,Copenhagen Zoo,Denmark Aquarium,Esbjerg,Experimentarium,Freetown Christiania,Legoland Billund,Lejre Research Centre,Nyhavn Canal,Odense,Rosenborg Castle,Roskilde Cathedral,The Little Mermaid Statue,Tivoli Gardens,Viking Ship Museum,,"
"Hotel in Dominican Republic","Dominican Republic,,Amber Coast,East Coast,La Romana,Santo Domingo,,Amber Museum,Boca Chica,Cabarete,Cathedral of Santa Maria,Colonial City,Columbus Lighthouse Monument,Fuerte San Felipe,Los Tres Ojos National Park,Mount Isabel de Torres,National Aquarium,Plaza de la Cultura,Puerto Plata,Samana Peninsula,Sosua,,"
"Hotel in Ecuador","Ecuador,,Galapagos Islands,Quito,,Banos,Cotopaxi National Park,Cuenca,El Mitad del Mundo,Museo del Banco Central,Otavalo,Plaza de la Independencia,Plaza San Francisco,,"
"Hotel in Egypt","Egypt,,Cairo,Luxor,The Nile Valley,The Sinai Peninsula and the Red Sea,,Abu Simbel,Asfour Crystal Factory,Coptic Church of St. George (Mari Girgis),Dahshur,Dr. Ragabs Pharaonic Village,Dream Park,Egyptian Museum of Antiquities,Hanging Church (El Muallaqa, Sitt Mariam, St Mary),Khan al-Khalili,Magic Galaxy,Memphis and Saqqara,Nubia Museum,Old Cairo,Pyramids of Giza,Ramses II Statue,Saladin Citadel (Al-Qalaa),Temple of Karnak,West Bank,Western Desert Oases,,"
"Hotel in Finland","Finland,,Helsinki,,Helsinki Zoo,Market Square,National Museum of Finland,Santa Claus Village,Senate Square,Seurasaari Open Air Museum,Suomenlinna Fortress,Temppeliaukio Church,Uspenski Cathedral,,"
"Hotel in France","France,,Alsace Lorraine,Avignon,Basque Country,Biarritz,Bordeaux,Brittany,Champagne Country,Corsica,Cote d Azur,Dordogne and Lot,French Alps,Lille,Loire Valley,Lyon,Marseille,Normandy,Paris,Provence,Toulouse,,Aix-les-Bains,Albi,Amboise,Amiens,Ancient Theatre of Fourvière,Angers,Annecy,Aquaboulevard,Arc de Triomphe,Balagne,Basilique St-Michel,Bastia,Bayeaux,Bayonne,Biot,Blois,Bonifacio,Bordeaux Wine Country,Briançon,Cahors,Cap Corse,Carnac,Cassis,Château dAngers,Château de Chambord,Château de Chenonceau,Château dIf,Château dUssé,Château-Thierry,Châteauneuf-du-Pape,Cite De Lespace,Colmar,Conques,Corte,Côte dAzur Beaches,D-Day Beaches,Deauville,Dinard,Disneyland Paris,Eiffel Tower,Epernay,Evian-les-Bains,Èze,Filitosa,Fontainebleau,Fontevraud Abbey,France Miniature,Grand Théâtre de Bordeaux,Grenoble,Haut-Koenigsbourg Castle,Historical Museum of Lyon and International Puppet Museum,Honfleur,Hospice Comtesse Museum,Ile St Honorat & Ile St Marguerite,Jardin des Plantes,La Baule,La Croisette,Le Jardin dAcclimatation,Les Calanques,Les Eyzies,Les Invalides,Lourdes,Louvre,Lyon National Opera House,Marseille Beaches,Massif des Calanques,Mont Saint-Michel Abbey,Montauban,Musée des Beaux-Arts,Musée des Moulins,Musée dOrsay,Musée National dHistoire Naturelle,Musée National Picasso,Musée Rodin,Nantes,Notre-Dame,Notre-Dame de la Treille Cathedral,Orange,Orléans,Palais des Beaux-Arts,Palais des Papes,Palais Longchamp,Parc Asterix,Pau,Petit Palais,Pompidou Centre,Pont dAvignon,Porto,Porto-Vecchio,Puy du Fou,Quimper,Reims,Rocamadour,Rouen,Saint Rémy de Provence,Saumur,Scandola Nature Reserve,St Sernin Basilica,St Tropez and Surrounds,Strasbourg,Talloires,The Pyrenees,Tours,Troyes,Versailles,Vieux Bordeaux,Villandry,,"
"Hotel in French Guiana","French Guiana,,,Cayenne-Félix Eboué Airport,,,"
"Hotel in Germany","Germany,,Berlin,Cologne,Dresden,Dusseldorf,Frankfurt,Hamburg,Hannover,Munich,Stuttgart,The Black Forest,The Rhineland,The Romantic Road,,Allied Museum,Alte Pinakothek,Augsburg,Baden-Baden,Berchtesgaden,Berlin Jewish Museum,Berlin Wall East Side Gallery,Berlin Zoo-Aquarium,Berliner Dom,Blankenese,Bonn,Brandenburg Gate,Charlottenburg Palace,Checkpoint Charlie,Chiemsee,Dachau Memorial Site,Deutsches Museum,Dinkelsbühl,Eschenheimer Turm,Frankfurt Botanical Gardens,Frankfurt Zoo,Freiburg,Freudenstadt,Gendarmenmarkt,German Clock Museum,Goethe-Haus,Hamburg Warehouse Complex,Hamburger Bahnhof,Hamburger Kunsthalle,Hameln,Heidelberg,Historical Museum (Historisches Museum),Hohenzollern Castle,Kunstmuseum Stuttgart,Legoland Discovery Centre,Liebieghaus,Lübeck,Mainz,Marienplatz,Mercedes-Benz Museum,Mineral Baths,Miniature Wonderland,Museum of Hamburg History,Nature Museum,Neuschwanstein Castle,Nymphenburg Palace,Old and New State Gallery,Olympiapark,Palace Square (Schlossplatz),Pergamon Museum,Pforzheim,Planten un Blomen,Porsche Museum,Potsdamer Platz,Reeperbahn,Reichstag,Romantic Road,Rothenburg,Senckenberg Museum of Natural History,St Bartholomew Cathedral,St Michaelis Church,Städel Gallery,Sylt,The Fairy Tale Road,The Story of Berlin,Triberg,Trier,Wiesbaden,Wilhelma Zoo,Würzburg,,"
"Hotel in Greece","Greece,,Athens,Cephalonia,Corfu,Crete,Kalamata,Kos,Lesvos,Mykonos,Patmos,Peloponnese Peninsula,Rhodes,Samos,Santorini,Saronic Gulf Islands,Skiathos,Skopelos,Thassos,Thessaloniki,Zakynthos,,Achilleion,Acropolis,Acropolis of Rhodes,Aegean Maritime Museum,Aegina,Allou Fun Park,Ancient Agora,Ancient Corinth,Ancient Theatre of Pythagorio,Aqualand Water Park,Attica Zoological Gardens,Benaki Museum,Blue Caves,Cape Sounion,Churches of Thessaloniki,Corfu Archaeological Museum,Crete Aquarium,Delos,Delphi,Donkey trekking,Eftalou Thermal Baths,Epidaurus,Filerimos Hill,Folklore Museum of Skopelos,Gortyna,Hellenic Childrens Museum,Heraklion Archaeological Museum,Historical Museum of Crete,Hydra,Ithaca,Karpathos,Knights Castle,Kolonaki/Lykavittos Hill,Kos Archaeological Museum,Lido Waterpark,Limnoupolis Waterpark,Lykourgos Castle,Marathon,Marathonisi Island,Marine Aquarium,Melissani and Drogarati Caves,Monastery of Arkádhi,Monastery of Daphni,Mount Athos,Mount Olympus,Museum of Asian Art,Museum of Pre-Historic Thera,Mycenae,Mykonos Windmills,Myrtos Beach,National Archaeological Museum,National Gardens,National Marine Park,Nymphes,Olympia,Paleokastritsa,Patmos,Petaloudes - Valley of the Butterflies,Petrified Forest of Sigri,Phaistos,Piraeus,Plaka,Poros,Potami Waterfalls,Prinos Streetmarket,Pythagoras Cave,Rhodes Beaches,Rhodes Old Town,Roman Forum,Samos Beaches,Santorini Beaches,Santorini Wineries,Saronic Islands,Skopelos Beaches,Sparta,Spetses,Star Beach Water Park,Syntagma Square,Temple of Hera,Thassos Beaches,The Palace of Knossos,The Samaria Gorge,The White Tower,Theologos,Thessaloniki Archaeological Museum,Vergina,Zante Beaches,,"
"Hotel in Hong Kong","Hong Kong,,Hong Kong City,The New Territories,Hong Kong International Airport,Aberdeen,Avenue of Stars,Big Buddha,Hong Kong Disneyland,Hong Kong Museum of Art,Hong Kong Museum of History,Hong Kong Police Museum,Hong Kong Science Museum,Hong Kong Wetland Park,Kowloon Park,Lantau,Macau,Ngong Ping 360,Ocean Park,Stanley,Statue Square,Ten Thousand Buddhas Monastery,Victoria Peak,Western Market,Wong Tai Sin Temple,,"
"Hotel in Hungary","Hungary,,Budapest,Eger,Lake Balaton,The Danube Bend,Budapest International Airport,Balatonfured,Budapest Puppet Theatre,Chain Bridge,Eger Castle,Esztergom,Fisherman’s Bastion,Gellert Hill,Great Circus,Heviz,Kecskemet,Keszthely,Matthias Church,Memento Park,Mineral Bath Swimming Pool Park,Parliament Buildings,Royal Palace,Szentendre,Szépasszony Valley (Valley of the Pretty Woman),The Great Synagogue and Jewish Museum,Vác,Vidam Park,Visegrad,,"
"Hotel in Iceland","Iceland,,Reykjavik,Keflavik International Airport,Blue Lagoon,Botanical Gardens,Einar Jónsson Museum,Geysir,Gullfoss Falls,Hallgrimskirkja,Hidden People,Jökulsárlón,Thingvellir National Park,,"
"Hotel in India","India,,Agra,Ahmedabad,Amritsar,Bengaluru,Chennai,Darjeeling,Delhi,Goa,Hyderabad,Jaipur,Kerala,Kochi,Kolkata,Ladakh,Mumbai,Pushkar,Udaipur,Varanasi,,Agra Fort,Amber Palace,Anjuna,Anjuna Flea Market,Baga Beach,Calangute Beach,Chandni Chowk,Colaba,Colva,Crawford Market,Cubbon Park,Dharamsala,Dhobi Ghat,Dr Salim Ali Bird Sanctuary,Dudhsagar Waterfall,Elephanta Caves,Fatehpur Sikri,Fort Area,Galta Monkey Temple (Galtaji),Goa Beaches,Golden Temple of Amritsar,Great Banyan Tree,Haji Ali Dargah,Hampi,Humayuns Tomb,Indian Museum,Jain Temples of Ranakpur,Jaipur City Palace,Jallianwala Bagh,Jama Masjid,Kala Ghoda Bazaar,Kalighat Temple,Kumbhalgarh Fort,Lal Bagh,Mani Bhavan Gandhi Museum,Marble Palace,Marine Drive,Mother House,Nehru Centre,Old Goa,Palace of the Winds (Hawa Mahal),Palolem,Panaji,Periyar Wildlife Sanctuary,Prince of Wales Museum,Qutub Minar,Rashtrapati Bhavan,Red Fort,Taj Mahal,The Backwaters of Kerala,Thiruvananthapuram (Trivandrum),Udaipur Lake Palace,Varkala,Victoria Memorial,,"
"Hotel in Indonesia","Indonesia,,Bali,Flores,Jakarta,Java,Lombok,Sumatra,Yogyakarta,,Ampenan,Bali Bird Park,Batubulan,Berastagi,Borobudur,Bromo-Tengger-Semeru National Park,Bukit Lawang,Bukittinggi,Elephant Cave,Gili Islands,Gunung Batur Volcano,Indonesia Miniature Park/Taman Mini,Jalan Jaksa,Jayapura,Kota,Kuta Lombok,Lake Maninjau,Lake Toba,National Monument of Indonesia,Nias Island,Padang,Prambanan Temple Complex,Pura Besakih,Pura Kehen,Sacred Monkey Forest of Padangtegal,Senggigi,Sidemen Valley,Tanah Lot,Ubud,Wayang Kulit (Shadow Puppets),,"
"Hotel in Ireland","Ireland,,Cork,Dublin,Galway,Killarney,Limerick,Shannon,,Adare,Airfield House and Farm,Aran Islands,Blarney Castle,Church Tower of Shandon,Cliffs of Moher,Clonmacnoise,Connemara,County Kerry,Dublin Castle,Dublin Zoo,Glendalough,Guinness Storehouse,Imaginosity,James Joyce Museum,Kilkee,Kinsale,Lough Gur,National Library of Ireland,National Museums of Ireland,Old City Gaol,St. Patricks Cathedral,Temple Bar District,The English Market,The Old Jameson Distillery,Trinity College Dublin,,"
"Hotel in Israel","Israel,,Galilee,Haifa,Jerusalem,Tel Aviv,Ben-Gurion Airport,Beaches,Beit Shean National Park,Bethlehem,Caesarea,Carmel Market,Church of the Holy Sepulchre,Citadel or Tower of David,Eilat,Eretz Israel Museum (The Land of Israel Museum),Gan Hashlosha National Park (Sahne),Hamat Tiberias National Park,Hezekiahs Tunnel,Jaffa,Makhtesh Ramon (Ramon Crater),Masada,Museum of the Jewish Diaspora (Beit Hatefutsot),Nazareth,Tel Aviv Museum of Art,Temple Mount (Al-Haram al-Sharif),The Dead Sea,The Israel Museum,The Underwater Observatory Marine Park,Via Dolorosa,Western Wall (HaKotel HaMaaravi),Yad VaShem,,"
"Hotel in Italy","Italy,,Amalfi Coast,Bologna,Civitavecchia,Florence,Genoa,Italian Alps,Lake Country,Milan,Naples,Palermo,Pisa,Rome,Sardinia,Sicily,Tuscany,Umbria,Venice,Verona,,Alghero,Aqualandia,Assisi,Basilica dei Frari,Basilica di San Giovanni,Basilica of SantAmbrogio,Bell Tower (Campanile di San Marco),Blue Grotto (Grotta Azzurra),Cagliari,Capitoline Hill,Capri,Capuchin Catacombs,Catania,Chianti Region,Cinque Terre,Cortona,Costa Smeralda,Dolomite Mountains,Duomo di Milano (Milan Cathedral),Duomo San Gennaro,Etruscan Sites,Frasassi Caves (Grotte di Frasassi),Galleria Regionale,Gallerie Accademia,Garibaldis House,Genoa Aquarium,Gondola Rides,La Scala Opera,Leonardo da Vinci National Science & Technology Museum,Lucca,Marionette Museum,Monreale Cathedral,Montepulciano,Mount Etna,Murano,Museo Archeologico Nazionale,Museo e Gallerie di Capodimonte,Museum of Historic Art of the Sforzesco Castle,Museum of Sant Agostino,Neptunes Grotto (Grotta di Nettuno),Nuraghe,Orto Botanico di Brera,Ortygia,Orvieto,Padua (Padova),Paestum,Palazzo Mirto,Palazzo Pitti and Giardino Boboli,Palazzo Tursi,Pantheon,Peggy Guggenheim Collection,Piazza del Duomo (Cathedral Square),Piazza delle Erbe,Pinacoteca di Brera,Pisa,Po Delta Natural Park,Pompeii,Ponte Scaligero,Ponte Vecchio,Portofino,Rialto Bridge,Roman Forum (Foro Romano),San Gimignano,Santa Croce,Santa Maria delle Grazie,Sassi de Matera,School of St Roch,Siena,Solunto,Spoleto,St Marks Square,St Peters Basilica (Basilica di San Pietro),Syracuse,Taormina,The Bargello (Museo Nazionale del Bargello),The Colosseum,The Grand Canal (Canalazzo),The Spanish Steps and Piazza di Spagna,The Uffizi (Gallerie degli Uffizi),Trastevere,Trenino Verde,Trevi Fountain (Fontana di Trevi),Ustica,Valley of the Temples (Valle dei Templi),Valpolicella,Vatican City and the Sistine Chapel,Verona Arena (Arena di Verona),Villa Doria Pamphili Park,,"
"Hotel in Jamaica","Jamaica,,Kingston,Montego Bay,Negril,Ocho Rios,Port Antonio,South Coast,,Appleton Rum Estate,Black River,Blue Lagoon,Blue Mountains,Bob Marley Mausoleum,Bob Marley Museum,Coyaba River Garden and Museum,Croydon in the Mountains,Devon House,Doctors Cave Beach,Dunns River Falls and Dolphin Cove,Falmouth,Firefly,Green Grotto Caves,Greenwood Great House,Hip Strip,Hope Botanical Gardens,Jablum Coffee Company,James Bond Beach,Mayfield Falls,Montego Bay Marine Park,National Gallery,Port Antonio Beaches,Port Royal,Rain Forest Adventures,Reach Falls,Rhodes Hall Plantation,Rio Grande,Rocklands Bird Sanctuary,Rose Hall,Seven Mile Beach,Spanish Town,White River Valley,YS Falls,,"
"Hotel in Japan","Japan,,Fukuoka,Hiroshima,Kyoto,Osaka,Sapporo,Shikoku,Tokyo,,Akihabara,Dazaifu,Edo-Tokyo Museum,Fukuoka Asian Art Museum,Gion,Golden Pavilion (Kinkakuji),Hiroshima Castle,Hiroshima City Museum of Contemporary Art,Historical Village,Inokashira Park,Joypolis Sega,Kamakura,Katsura Imperial Villa,Kiyomizu-dera,Kushida Shrine,Kyoto Imperial Palace,Meiji Jingu,Minamiza Kabuki Theatre,Miyajima,Mount Aso,Mount Fuji,Mount Moiwa,Nagasaki,Nara,Noboribetsu,Peace Memorial Park,Sandankyo Gorge,Sanjusangen-do,Sapporo Beer Museum,Senso-ji Temple,Shofukuji Temple,To-ji,Tokyo Disney Resort,Tokyo Imperial Palace,Tokyo National Museum,Tokyo Tower,Yasukuni Shrine,Yokohama,,"
"Hotel in Jordan","Jordan,,Amman,Aqaba,Petra,Amman Airport,Citadel Hill,Desert Castle Loop,Jerash,Madaba,Mount Nebo,Roman Theatre,The Dead Sea,,"
"Hotel in Kenya","Kenya,,Nairobi,The Great Rift Valley,The Kenyan Coast,,Amboseli National Park,Great Wildebeest Migration,Hells Gate National Park,Karen Blixen Museum,Lake Naivasha and Elsamere,Lake Nakuru National Park,Lamu,Malindi,Masai Mara National Reserve,Mombasa,Mount Kenya National Park,Nairobi National Museum,Nairobi National Park and Sheldrick Elephant Orphanage,The Giraffe Centre,Tsavo National Park,,"
"Hotel in Lithuania","Lithuania,,Vilnius,Vilnius Airport,European Park,Gediminas Castle,Jewish Memorials,Museum of Genocide Victims,Vilnius Cathedral,,"
"Hotel in Luxembourg","Luxembourg,,Luxembourg-Ville,Luxembourg Airport,Clervaux,Echternach,Grand Ducal Palace,Luxembourg American Cemetery and Memorial,Mondorf-les-Bains,Moselle Valley,The Fortress,The National Museum for History and Art,Vianden,,"
"Hotel in Malaysia","Malaysia,,Hill Resorts,Islands,Kuala Lumpur,Sabah,Sarawak,,Batu Caves,Bukit Larut,Cameron Highlands,Chinatown,Frasers Hill,Friday Mosque (Masjid Jamek),Genting Highlands,Kuala Lumpur Railway Station,Langkawi,Melaka (Historic City),Merdeka Square (Dataran Merdeka),Mount Kinabalu,National Museum (Muzium Negara),Perdana Botanical Gardens,Perhentian Islands,Petronas Towers,Sepilok Forest Reserve and Orangutan Sanctuary,Sipadan Island,Taman Negara National Park,Tioman,Tunku Abdul Rahman National Park,,"
"Hotel in Morocco","Morocco,,Agadir,Casablanca,Fez,Marrakech,Rabat,Tangier,,Agadir,Ait Benhaddou,Asilah,Bab Agnaou,Ben Youssef Madrasa,Casablanca Twin Centre,Chefchaouen,Dar el Makhzen,Djemaa el-Fna,El Badi Palace,Essaouira,Grand Socco,Hassan Tower,Karaouine Mosque,Kasbah des Oudaias,Koutoubia Mosque,Majorelle Garden,Meknes,Ouirgane,Oukaimeden,Saadian Tombs,Souks,Tangier American Legation Museum,Tanneries,The Citadel of Chellah,The King Hassan II Mosque,The Museum of Marrakech,The Shrine of Sidi Abderrahman,Todra Gorge,Volubilis,,"
"Hotel in Nepal","Nepal,,Himalayas,Kathmandu,Pokhara,Kathmandu Airport,Annapurna Region,Bhaktapur,Boudhanath Stupa,Changu Narayan Temple,Durbar Square,Mount Everest Region,Namche Bazaar,Pashupatinath Temple,Patan,Royal Chitwan National Park,Swayambhunath Stupa,,"
"Hotel in Netherlands","Netherlands,,Amsterdam,Delft,Eindhoven,Groningen,Rotterdam,,Amsterdam Canal Tour,Amsterdam Coffeeshops,Amsterdam Museum,Anne Frank House,Artis Zoo,Concertgebouw,Efteling,Haarlem,Heineken Experience,Hoge Veluwe National Park,Keukenhof,Maastricht,Madurodam,National Maritime Museum,Peace Palace,Red Light District (De Wallen),Rembrandt House,Sex Museum Amsterdam,Stedelijk Museum of Modern Art,The Dutch Resistance Museum (Verzetsmuseum),The Rijksmuseum,The Royal Palace (Koninklijk Paleis),Van Gogh Museum,Vondelpark,,"
"Hotel in New Zealand","New Zealand,,Auckland,Christchurch,Fjordland,North Island,Queenstown,South Island,Wellington,,Akaroa,Arrowtown,Auckland Museum,Auckland Sky Tower,Bay of Islands,Christchurch Gondola,Christchurch Tramway,Fjordland National Park,Hamilton,Hauraki Gulf Islands,Lake Wanaka,Milford Track,Mount Cook National Park,Mount Victoria,Rotorua,Skyline Gondola,Taranaki,Te Anau,Te Papa Museum,Tiritiri Matangi Island,Wai-O-Tapu Thermal Reserve,Wellington Cable Car,,"
"Hotel in Norway","Norway,,Bergen,Oslo,Stavanger,Tromso,Trondheim,,Arctic Cathedral,Bryggen,Bryggens Museum,Hanseatic Museum,Lillehammer,Polaria,Sognefjord,St Marys Church (Mariakirken),The Kon-Tiki Museum,The Viking Ships Museum,Tromso Museum,Vigeland Park,,"
"Hotel in Oman","Oman,,Muscat,Muscat International Airport,Al Hajar Mountains,Al Jalali and Al Mirani Forts,Bahla,Bait al Baranda,Beaches in Oman,Muttrah Fish Market,Nizwa Fort,Old Muttrah Souk,Qasr Al Alam Royal Palace,Salalah,Sultan Qaboos Grand Mosque,Wahiba Sands,,"
